codIBGE,municipio,ano,UF,expecvida,AmpT,Tmax,Tmin,homicidios,mortinf,acidtrans,renda_pc,indgini,razao_renda,IDHM,lnexpecvida,lnAmpT,lnTmax,lnTmin,lnrenda_pc,d1990,d2000,d2010,regiao
1720903,Taguatinga,1990,TO,58.54,14.8,33.9,19.1,0,70.12,8.77,140.69,0.6,24.41,453,4.06971028126374,2.69462718077007,3.5234150143864,2.94968833505258,4.94655888838912,1,0,0,Norte
1720903,Taguatinga,2000,TO,64.85,15.2,34.5,19.3,29.53,39.85,44.3,259.56,0.65,36.35,451,4.17207691076245,2.72129542785223,3.54095932403731,2.96010509591084,5.55898788975297,0,1,0,Norte
1720903,Taguatinga,2010,TO,74.07,13.1,35,21.9,39.03,16,19.51,399.35,0.64,32.18,634,4.3050105920252,2.57261223020711,3.55534806148941,3.08648663682246,5.9898382253634,0,0,1,Norte
2100501,Alto Parnaíba,1990,MA,59.43,19.5,36.2,16.7,0,72.94,NA,152.16,0.6,21.14,497,4.08479914937857,2.9704144655697,3.58905911883173,2.81540871942271,5.02493259879708,1,0,0,Nordeste
2100501,Alto Parnaíba,2000,MA,60.71,17.8,35.2,17.4,0,35.91,NA,184.36,0.65,35.89,435,4.10610842914234,2.87919845729804,3.56104608260405,2.85647020622048,5.21689036785231,0,1,0,Nordeste
2100501,Alto Parnaíba,2010,MA,72.07,20.3,36.9,16.6,9.1,23.2,18.2,559.61,0.78,74.46,633,4.27763786893635,3.01062088604774,3.60821155104648,2.8094026953625,6.32724011253874,0,0,1,Nordeste
2101202,Bacabal,1990,MA,55.66,15.1,36.7,21.6,12.14,94.19,11.13,155.7,0.51,13.58,436,4.01926175609774,2.71469474382088,3.60277675506052,3.07269331469012,5.04793107883995,1,0,0,Nordeste
2101202,Bacabal,2000,MA,60.09,14.5,37.5,23,17.86,48.15,11.61,201.74,0.58,20.23,481,4.09584343834584,2.67414864942653,3.62434093297637,3.13549421592915,5.30697973962669,0,1,0,Nordeste
2101202,Bacabal,2010,MA,70.18,16.3,39,22.7,36.24,28.8,19.68,375.57,0.55,17.47,651,4.25106337015507,2.79116510781272,3.66356164612965,3.12236492448736,5.92844487193968,0,0,1,Nordeste
2101400,Balsas,1990,MA,61.95,16.2,34.8,18.6,2.4,60.53,12.01,145.95,0.57,18.07,475,4.12632760807515,2.78501124223834,3.54961738678043,2.92316158071916,4.98326409730012,1,0,0,Nordeste
2101400,Balsas,2000,MA,64.08,14.5,34.5,20,3.22,33.41,14.48,353.17,0.71,42.74,521,4.1601323027601,2.67414864942653,3.54095932403731,2.99573227355399,5.86694952741005,0,1,0,Nordeste
2101400,Balsas,2010,MA,73.44,16.7,36.8,20.1,34.01,19.5,28.14,531.6,0.58,20.36,687,4.29646874631224,2.81540871942271,3.60549784517489,3.00071981506503,6.27589132683909,0,0,1,Nordeste
